CDEC_ID,LATITUDE,LONGITUDE
AMA,38.872,-121.055
AMF,38.683,-121.183
AMK,38.764,-120.325
AMN,38.9361,-121.0228
ANM,34.108,-117.1
ANT,40.18,-120.607
ASP,34.222,-118.177
ASS,36.28052,-121.32271
ASV,38.819,-120.364
BHN,37.221,-119.212
CSN,38.5,-121.044
CYO,37.168,-121.649
DAV,39.883,-120.467
EFC,38.847,-119.703
ERS,40.492,-124.099
EWR,38.328,-119.214
FPL,39.794,-121.451
FPR,40.169,-121.091
FRD,39.883,-120.183
FTC,39.754,-120.595
FTM,39.708,-121.269
FTO,39.522,-121.547
FTP,39.548,-121.303
KGC,36.994,-118.897
KGF,36.831,-119.335
KGP,36.833,-119.325
KLO,41.304,-123.533
KRB,35.432,-118.945
KRI,35.639,-118.484
KRK,35.945,-118.477
KWT,36.412,-119.003
LNV,37.726853,-118.886148
MBS,37.979,-119.136
MDP,37.717,-119.665
MKM,38.313,-120.719
MKW,38.368,-120.544
MRC,37.522,-120.331
MSS,40.958,-122.219
NCD,35.76136,-120.85546
NPH,38.498,-122.427
OTR,37.058,-118.225
OWL,37.5875,-118.7084
PLK,41.23073,-120.43717
PSH,40.843,-122.016
RRH,38.613,-122.835
SBB,40.289,-122.186
SCC,36.061,-118.922
SCU,38.8653,-120.4264
SDT,40.94,-122.416
SFJ,41.64069,-123.01504
SFR,37.273,-118.965
SIS,40.718,-122.42
SJF,36.98439,-119.72431
SJM,37.317,-119.329
SNS,37.852,-120.637
SQS,40.857,-122.084
SRS,41.378,-123.476
SSP,34.44166,-118.92732
STB,38.193,-120.098
SVC,38.824,-120.538
SWH,34.382019,-118.954117
THT,37.070903,-118.22218
TLG,37.666,-120.441
TLM,37.96778,-119.91639
TLN,37.938,-119.797
TNL,40.719,-122.802
TRF,39.428,-120.033
WFC,38.769,-119.832
WWR,38.378,-119.449
YBG,39.525,-120.937
YBJ,39.511,-120.554
YBM,39.511,-120.554
YBS,39.319,-120.658
YCB,39.44,-120.661
YRS,39.23517,-121.27412
